src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
83.217.9.73,172.21.245.0,9001,58722,incoming,14,2616,1762608957.935734,1762609022.877312,14,0.0,1,0,14,0,2616,7.621670823116214,0,0,0,0,0.74959525725948,tor
172.21.245.0,83.217.9.73,58722,9001,outgoing,14,6904,1762608957.935887,1762609022.680992,14,0.0,1,14,0,6904,0,7.621670823116214,0,0,0,0,0.74959525725948,tor
src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
83.217.9.73,172.21.245.0,9001,58722,incoming,14,2616,1762608957.935734,1762609022.877312,14,0.0,1,0,14,0,2616,7.621670823116214,0,0,0,0,0.74959525725948,tor
172.21.245.0,83.217.9.73,58722,9001,outgoing,14,6904,1762608957.935887,1762609022.680992,14,0.0,1,14,0,6904,0,7.621670823116214,0,0,0,0,0.74959525725948,tor
src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
136.243.174.159,172.21.245.0,9100,43828,incoming,2,108,1762699955.924607,1762699985.901486,2,0.0,1,0,2,0,108,0,0,0,0,0,-0.0,tor
172.21.245.0,136.243.174.159,43828,9100,outgoing,2,132,1762699955.92467,1762699985.901546,2,0.0,1,2,0,132,0,0,0,0,0,0,-0.0,tor
src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
136.243.174.159,172.21.245.0,9100,43828,incoming,2,108,1762699831.604728,1762699861.876875,2,0.0,1,0,2,0,108,0,0,0,0,0,-0.0,tor
172.21.245.0,136.243.174.159,43828,9100,outgoing,2,132,1762699831.604801,1762699861.876943,2,0.0,1,2,0,132,0,0,0,0,0,0,-0.0,tor
src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
136.243.174.159,172.21.245.0,9100,43828,incoming,2,108,1762699895.769687,1762699925.893393,2,0.0,1,0,2,0,108,7.382533396815568,0,0,0,0,-0.0,tor
172.21.245.0,136.243.174.159,43828,9100,outgoing,2,132,1762699895.769726,1762699925.893461,2,0.0,1,2,0,132,0,7.382533396815568,0,0,0,0,-0.0,tor
src_ip,dst_ip,src_port,dst_port,direction,packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
136.243.174.159,172.21.245.0,9100,58082,incoming,2,108,1762704306.208979,1762704336.057405,2,0.0,1,0,2,0,108,0,0,0,0,0,-0.0,tor
172.21.245.0,136.243.174.159,58082,9100,outgoing,2,132,1762704306.209047,1762704336.057445,2,0.0,1,2,0,132,0,0,0,0,0,0,-0.0,tor
packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nontor
packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nontor
packet_count,total_bytes,start_time,end_time,burst_count,avg_burst_duration,max_burst_len,outgoing_packet_count,incoming_packet_count,outgoing_bytes,incoming_bytes,avg_payload_entropy,syn_count,ack_count,fin_count,rst_count,packet_size_entropy,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nontor
